V1,V3,V2.y,organ
DP8480000914TR_L01_77,29426657,Ov7,Ovary
DP8480001016TR_L01_1,29186701,Br1,Brain
DP8480001016TR_L01_2,30144722,In1,Midgut
DP8480001016TR_L01_4,30994066,Br2,Brain
DP8480001016TR_L01_65,30766341,Fa7,FatBody
DP8480001016TR_L01_66,29589200,Ov4,Ovary
DP8480001016TR_L01_67,30193170,Ov1,Ovary
DP8480001016TR_L01_68,30671463,Fa5,FatBody
DP8480001016TR_L01_69,30671068,In5,Midgut
DP8480001016TR_L01_70,33313489,In5_2,Midgut
DP8480001016TR_L01_71,31788358,In2,Midgut
DP8480001016TR_L01_72,28616479,Fa1,FatBody
DP8480001017TR_L01_13,29627137,Fa6,FatBody
DP8480001017TR_L01_14,30647165,Ov2,Ovary
DP8480001017TR_L01_15,29109874,In6,Midgut
DP8480001017TR_L01_16,31567645,Th3,Thorax
DP8480001017TR_L01_57,27231173,Ov8,Ovary
DP8480001017TR_L01_58,29329651,Br7,Brain
DP8480001017TR_L01_59,32388837,In4,Midgut
DP8480001017TR_L01_60,31077035,In8,Midgut
DP8480001017TR_L01_61,31424178,In7,Midgut
DP8480001017TR_L01_63,29627597,Ov3,Ovary
DP8480001017TR_L01_73,28031586,Br6,Brain
DP8480001017TR_L01_74,34000378,Th4,Thorax
DP8480001017TR_L01_75,30426001,Fa8,FatBody
DP8480001017TR_L01_76,30222405,In3,Midgut
DP8480001017TR_L01_77,28919058,Ov7_2,Ovary
DP8480001017TR_L01_78,28977602,Br4,Brain
DP8480001017TR_L01_79,29832687,Br8,Brain
DP8480001017TR_L01_80,29488954,Fa3,FatBody
DP8480001017TR_L01_81,37443818,Th7,Thorax
DP8480001017TR_L01_82,28851742,Fa2,FatBody
DP8480001017TR_L01_83,31515644,Ov6,Ovary
DP8480001017TR_L01_84,39018416,Th2,Thorax
DP8480001017TR_L01_85,38343819,Th5,Thorax
DP8480001017TR_L01_86,38749639,Th8,Thorax
DP8480001017TR_L01_88,35551287,Th1,Thorax
